_id,businessName,DBAName,LegalOwner,NameLast,NameFirst,LICENSENO,ISSDTTM,EXPDTTM,LICSTATUS,LICENSECAT,DESCRIPT,RESULT,RESULTDTTM,Violation,ViolLevel,ViolDesc,VIOLDTTM,ViolStatus,StatusDate,Comments,Address,CITY,STATE,ZIP,Property_ID,Location
1,100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,4/5/13 12:47,12/31/18 23:59,Active,FS,Eating & Drinking,HE_Fail,2/15/13 12:19,15-4-202.16,*,Non-Food Contact Surfaces,2/15/13 12:19,Fail,None,Provide glass storage rack.,635   Hyde Park AV,Roslindale,MA,2131,77476,"(42.278590000, -71.119440000)"
2,100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,4/5/13 12:47,12/31/18 23:59,Active,FS,Eating & Drinking,HE_Fail,2/15/13 12:19,16-4-501.11/.15,*,Dishwashng Facilities,2/15/13 12:19,Fail,None,Provide dish rack over 3 bay sink to replace missing drainboards at each end of  3 bay sink.,635   Hyde Park AV,Roslindale,MA,2131,77476,"(42.278590000, -71.119440000)"
3,100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,4/5/13 12:47,12/31/18 23:59,Active,FS,Eating & Drinking,HE_Fail,2/15/13 12:19,16-4-501.11/.15,*,Dishwashng Facilities,2/15/13 12:19,Fail,None,Provide dish washer at ware washing area.,635   Hyde Park AV,Roslindale,MA,2131,77476,"(42.278590000, -71.119440000)"
4,100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,4/5/13 12:47,12/31/18 23:59,Active,FS,Eating & Drinking,HE_Fail,2/15/13 12:19,29-5-201/02.11,*,Installed and Maintained,2/15/13 12:19,Fail,None,Provide mop sink at basement.,635   Hyde Park AV,Roslindale,MA,2131,77476,"(42.278590000, -71.119440000)"
5,100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,4/5/13 12:47,12/31/18 23:59,Active,FS,Eating & Drinking,HE_Fail,2/15/13 12:19,31-5-204/05.11,***,Location  Accessible,2/15/13 12:19,Fail,None,No hand sink at Bar Area  provide.,635   Hyde Park AV,Roslindale,MA,2131,77476,"(42.278590000, -71.119440000)"
6,100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,4/5/13 12:47,12/31/18 23:59,Active,FS,Eating & Drinking,HE_Fail,2/15/13 12:19,37-6-501.11-.12,*,Improper Maintenance of Walls/Ceilings,2/15/13 12:19,Fail,None,Provide door and finish miscellaneous storage room.,635   Hyde Park AV,Roslindale,MA,2131,77476,"(42.278590000, -71.119440000)"
7,100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,4/5/13 12:47,12/31/18 23:59,Active,FS,Eating & Drinking,HE_Fail,3/21/13 14:48,16-4-501.11/.15,*,Dishwashng Facilities,3/21/13 14:48,Fail,None,Provide dish washer at ware washing area.,635   Hyde Park AV,Roslindale,MA,2131,77476,"(42.278590000, -71.119440000)"
8,100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,4/5/13 12:47,12/31/18 23:59,Active,FS,Eating & Drinking,HE_Fail,10/24/13 11:18,05-4-302.12,*,Food Thermometers Provided,10/24/13 11:18,Fail,None,Provide chefs thermometer for monitoring food temperatures.,635   Hyde Park AV,Roslindale,MA,2131,77476,"(42.278590000, -71.119440000)"
9,100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,4/5/13 12:47,12/31/18 23:59,Active,FS,Eating & Drinking,HE_Fail,10/24/13 11:18,14-4-202.11,*,Food Contact Surfaces Design,10/24/13 11:18,Fail,None,Replace heavily scorded cutting board.,635   Hyde Park AV,Roslindale,MA,2131,77476,"(42.278590000, -71.119440000)"
10,100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,4/5/13 12:47,12/31/18 23:59,Active,FS,Eating & Drinking,HE_Fail,10/24/13 11:18,16-4-501.11/.15,*,Dishwashng Facilities,10/24/13 11:18,Fail,None,Dishmachine not operating  repair.,635   Hyde Park AV,Roslindale,MA,2131,77476,"(42.278590000, -71.119440000)"
